call_id,rep,account_name,date,meeting_type,content_tier,question,extraction_confidence
165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ,Bo,Emerald Isle,2026-08-06,discovery,rich,"When the official CourseRev-TenFore ('104') integration will actually be ready - Bo said 'I'm not sure exactly exactly on the timeline for the official integration with them', hoping for the end of August and no later than the end of September",high
165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ,Bo,Emerald Isle,2026-08-06,discovery,rich,How the phone-system connection works technically - Bo said 'um the technical specifics I don't know exactly',high
165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ,Bo,Emerald Isle,2026-08-06,discovery,rich,How CourseRev gets backend access to the POS - Bo said 'technical specifics. I don't know exactly how we get it set up' and guessed at admin credentials,high
165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ,Bo,Emerald Isle,2026-08-06,discovery,rich,Which phone provider the Eagle Vail course is switching to - Bo said 'I'm not 100% sure',high
165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ,Bo,Emerald Isle,2026-08-06,discovery,rich,The exact number of signed courses - Bo said 'I forget the exact figure' before giving at least 200 signed and roughly 100 live,high
165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ,Bo,Emerald Isle,2026-08-06,discovery,rich,Exactly how an AI booking will be labelled inside TenFore specifically - Bo said every integration shows in the tee sheet a little differently,high
17Kdv4-QBw51qfiyqRJUH5QDaCDZzvCG4NvbLIOWALq0,Jason,Scott Lake,2026-06-11,demo,rich,The engagement status of the Mines Golf Club - Evan Denholm said he would check and come back on it,high
17Kdv4-QBw51qfiyqRJUH5QDaCDZzvCG4NvbLIOWALq0,Jason,Scott Lake,2026-06-11,demo,rich,"Which Michigan courses are live on the voice product - none were named from memory, and Bella Vista Golf Course in Coldwater was the one found by checking the website during the call",high
17M0p28AyMf3YDcrbnzdM59JXDQK8QwGgr2plcovw9iU,Bo,Desert Princess CC,2026-06-22,demo,rich,Whether CourseRev has or is pursuing an integration with Quick 18 - Bo said 'I'd have to get back to you on that.' and took it as an action item,high
17M0p28AyMf3YDcrbnzdM59JXDQK8QwGgr2plcovw9iU,Bo,Desert Princess CC,2026-06-22,demo,rich,Whether CourseRev integrates with the prospect's specific Golf Now product - Bo could not confirm and made the whole opportunity contingent on verifying it,high
17M0p28AyMf3YDcrbnzdM59JXDQK8QwGgr2plcovw9iU,Bo,Desert Princess CC,2026-06-22,demo,rich,Whether 'Premier 365' / 'Golf 365 Premiere' is the same product as Golf Now Pro - neither party could resolve the naming and Bo said he would dig further,high
17M0p28AyMf3YDcrbnzdM59JXDQK8QwGgr2plcovw9iU,Bo,Desert Princess CC,2026-06-22,demo,rich,"CourseRev's own pricing was never raised by either party, so no cost for the voice concierge was quoted or asked for",high
17RObnNsUkUX3XVM0DCJWXCTLvCbIg1SFPTUfD96reZU,Jason,Bristol Ridge,2026-06-19,discovery,rich,"Whether the voice agent collects an email address on the call for a first-time booker. Sam noted Club Caddy asks for first name, last name, email and phone number; the answer given was that CourseRev keys on the phone number, stores the email, and prompts new players for the information the course collects, without confirming email capture on the call.",high
18Hy9dQodkUWl4qvQUMRiNTr9LmxYX_vGUdLCnSCsNGg,Bo,Tilden Park Golf Course,2026-09-04,demo,rich,"What happens to a booking when the credit card is never supplied - Bo said 'I would believe it's customizable based on whatever you guys want. Um, I I'll get you a clear-cut answer' and sketched two possible configurations without confirming either",high
18Hy9dQodkUWl4qvQUMRiNTr9LmxYX_vGUdLCnSCsNGg,Bo,Tilden Park Golf Course,2026-09-04,demo,rich,Whether the AI can answer drive-time or traffic-condition questions - Bo said 'I actually don't know if it can go that advanced' and offered to find out,high
18Hy9dQodkUWl4qvQUMRiNTr9LmxYX_vGUdLCnSCsNGg,Bo,Tilden Park Golf Course,2026-09-04,demo,rich,"What share of rounds across CourseRev's customer base comes through the product - Bo gave a single 97% figure, was unsure which course it belonged to ('It might have been Highland Creek over in North Carolina'), and said he would have to get back with more numbers",high
18Hy9dQodkUWl4qvQUMRiNTr9LmxYX_vGUdLCnSCsNGg,Bo,Tilden Park Golf Course,2026-09-04,demo,rich,Tilden Park's own bookings per month and the phone-versus-online split - Christopher said 'I don't I don't know really I mean I guess that's the end of the sentence. I I don't know if I can find that information or not.',high
18Hy9dQodkUWl4qvQUMRiNTr9LmxYX_vGUdLCnSCsNGg,Bo,Tilden Park Golf Course,2026-09-04,demo,rich,Whether the multi-course KemperSports discount Bo floated is real or what it would be - he said 'we might be able to give you more of a discount is what I'm trying to say' and deferred it as a future discussion,high
19pxZ917FAcSkUJOTQUgg2Hg-FP5_A6lEAALhGFsF0cc,Jason,,2026-08-17,demo,thin,Golf Now integration capability for their course - Dave Scott left with an action item to contact his Golf Now representative for more information; the doc records only that the build needs a tee sheet identification number to start,low
1BPJko8wI1WqBvBHy9SAXMRRCM-VGk8f7_D0MPgntmpc,Bo,Laughlin Ranch,2026-08-12,demo,rich,"Why the live demo booking did not complete - Bo Ferrando said he would find out, suggesting something on the LightSpeed side",high
1GpHTKRqngp4SuaiKw6ijK1cbmt02nEgCT2GgVF5qBfg,Jason,Lida Greens Golf Course,2026-07-06,other,rich,"The minimum notice board duration - Evan said 'at the moment I think it's one day' and that a three-hour window would be 'a quick fix for sure', but nothing was confirmed and no date was given",high
1GpHTKRqngp4SuaiKw6ijK1cbmt02nEgCT2GgVF5qBfg,Jason,Lida Greens Golf Course,2026-07-06,other,rich,A question Dave raised and then lost - 'Can't remember what the hell it was.' - which was never recovered in the call,high
1GpHTKRqngp4SuaiKw6ijK1cbmt02nEgCT2GgVF5qBfg,Jason,Lida Greens Golf Course,2026-07-06,other,rich,Whether the Arvig contact who set up the nearby Forest Hills course is the same person who would handle this second line - Evan hoped so but did not confirm,high
1MqvAFKoXlxtAsBUXstJ-Gxh2-A0wjnz9NbNI-H1qs_4,Jason,Bristol Ridge,2026-07-17,other,moderate,"When simulator booking support would actually arrive - the answer given was that the development team is working on integrations with software modules that manage such activities, which may allow for future functionality, with no timeline attached",low
1MqvAFKoXlxtAsBUXstJ-Gxh2-A0wjnz9NbNI-H1qs_4,Jason,Bristol Ridge,2026-07-17,other,moderate,"What the referral program will pay - Gemini records it only as being formalized, with account credits as a possibility and updates promised later",low
1NErdrdlxiNuIqbxxcJayg3hCf6YFacXlwq-sGecFwNo,Bo,Old Greenwood,2026-08-18,demo,rich,"When the ForeUp contract expires - the prospect did not know and estimated a year or two, saying he did not know what their contract is; the rep asked twice and left it there",high
1NiQZ4zEoJ6ux2G1uf495S1tDSDbtTb2wz5JuEPzgaHU,Jason,Tunica National,2026-06-30,demo,rich,"Whether the system pairs a twosome with an existing twosome in the same time window or creates a separate tee time - the rep said he did not know off the top of his head, messaged his boss mid-call, reported back that his boss was in a meeting, and no answer arrived before the call ended",high
1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE,Bo,The Links at Bodega Harbour,2026-08-19,demo,rich,"Whether CourseRev supports dynamic pricing tools - Bo said 'I to be honest don't have an answer for you right now on that', messaged the head of operations mid-call and no answer arrived before the call ended",high
1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE,Bo,The Links at Bodega Harbour,2026-08-19,demo,rich,"What share of calls the AI completes versus what share is transferred to the pro shop - Bo said 'I don't have that data,' and offered to source it",high
1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE,Bo,The Links at Bodega Harbour,2026-08-19,demo,rich,What share of callers abandon the call because it is AI (the first half of John's question at 00:18:47),high
1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE,Bo,The Links at Bodega Harbour,2026-08-19,demo,rich,Whether any fee is charged on top of the $2 per booking when a prepayment runs through CourseRev's Stripe account - Bo described the payment flow and payout but did not state a fee,high
1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE,Bo,The Links at Bodega Harbour,2026-08-19,demo,rich,Whether a Bodega Harbour-specific mock-call sandbox can be built - Bo said he would look into it and offered a 30-day free trial instead,high
1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE,Bo,The Links at Bodega Harbour,2026-08-19,demo,rich,The definitive Black Gold contact and contract length from CourseRev's side (John and Jetan supplied Rich Cessna and roughly 8-10 months themselves),high
1TkBlhJYHKPHgpX7Q6FpLHzeWiiLyPRtnbW6wk4DFUP4,Bo,Presidio Golf Course,2026-05-20,discovery,rich,"What the ROI for a course like Presidio actually is - Bo Ferrando gave qualitative drivers (after-hours capture, operational efficiency, staff time freed for promotions, memberships and lessons) and committed to produce a hypothetical ROI report after speaking to his head of operations; no figure was produced in the call",high
1TkBlhJYHKPHgpX7Q6FpLHzeWiiLyPRtnbW6wk4DFUP4,Bo,Presidio Golf Course,2026-05-20,discovery,rich,"Whether any labour saving can be demonstrated - the prospect said the case only closes if a correlation can be shown to scheduling one person or half a person less, and neither side could evidence that",high
1TkBlhJYHKPHgpX7Q6FpLHzeWiiLyPRtnbW6wk4DFUP4,Bo,Presidio Golf Course,2026-05-20,discovery,rich,"Presidio's own unit economics - the prospect could not give hard costs or a per-round margin, offering only an average rate of about $80 for easy math, so the reverse-engineering attempt stalled",high
1TkBlhJYHKPHgpX7Q6FpLHzeWiiLyPRtnbW6wk4DFUP4,Bo,Presidio Golf Course,2026-05-20,discovery,rich,Whether CourseRev has any clients within Keer Sports - the prospect raised it and Bo Ferrando moved to the Touchstone acquisition question without answering,high
1TkBlhJYHKPHgpX7Q6FpLHzeWiiLyPRtnbW6wk4DFUP4,Bo,Presidio Golf Course,2026-05-20,discovery,rich,"Presidio's actual daily call volume, which the prospect said he would have to research",high
