call_id,rep,date,account_name,account_source,meeting_type,content_tier,prospect_seniority,attendee_count,demo_happened,features_demoed,pain_points,current_solution,objection_count,objections_determinable,objection_categories,objections_resolved,sentiment_open,sentiment_post_demo,sentiment_at_pricing,sentiment_close,sentiment_trajectory,call_path_norm,call_path_len,call_path,pivot_point_count,next_step_secured,next_step_has_date,next_step_description,buying_signal_count,stall_count,rep_commitment_count,unanswered_question_count,extraction_confidence,doc_url
12PrhDp57Dar0ivoMFZZF_QF4Q5llTa2hCIAKi9yzZBk,Jason,2026-06-23,Dacotah Ridge GC,title,discovery,stub,unknown,2,,,,,,False,,0,,,,,insufficient_data,,0,,0,,,,0,0,0,0,low,https://docs.google.com/document/d/12PrhDp57Dar0ivoMFZZF_QF4Q5llTa2hCIAKi9yzZBk/edit
155XNHSs1CdNjb36xslmbxSDEyO8p3L67SXifzeZ4LWI,Bo,2026-05-21,Presidio Golf Course,title,follow_up,stub,unknown,2,,,,,,False,,0,,,,,insufficient_data,,0,,0,,,,0,0,0,0,low,https://docs.google.com/document/d/155XNHSs1CdNjb36xslmbxSDEyO8p3L67SXifzeZ4LWI/edit
165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ,Bo,2026-08-06,Emerald Isle,title,discovery,rich,unknown,2,False,,"Their ForeUp POS has stagnated - Curtis said it has not changed its look or added functionality while they have had to build backend workarounds for things like tournament signups, which is driving the switch to TenFore (transcribed as '104') on September 1|Low green fees ('we're only like a 20, 30, you know, at most $40 green fee') leave little room to absorb a per-booking cost|A 55-and-up, price-sensitive clientele that reacts to even a one-dollar rate increase, so any added booking fee has to be handled carefully|Risk that a phone booking fee pushes callers to book on the website instead|After-hours and unanswered calls currently land on a voicemail that is not reliably checked - Curtis said it would be better than 'uh going to a voicemail that probably isn't getting checked on a regular basis'|Past experience that discount promotions get found by regulars who already pay full rate, cancelling out the benefit","ForeUp POS and tee sheet, being replaced by TenFore ('104') with a September 1 go-live; hardware already in place and staff training under way. Yealink / RingCentral phone system with calls answered by pro shop staff and no AI vendor evaluated before this ('Um we haven't'). Gallas Golf supplies the Emerald Isle mobile app, with in-house staff for social and graphics, and a self-built Lovable ticketing platform for Curtis's event business. Waitlist will be the native TenFore feature. Tee times are currently booked only a week out.",4,True,approval_authority|price|timing_seasonality,2,4,,3,4,v_shaped,rapport>discovery>other>discovery>integration>demo>onboarding>other>onboarding>other>integration>pricing>onboarding>next_step,17,"Rapport: San Diego and Bay Area weather, Curtis's Oceanside background|Discovery: 20 years at Emerald Isle, his event company, and the two-year path to taking over ownership|Course positioning: 'a golf course for everyone', anti-country-club, casual merchandise|Current stack: ForeUp being dropped for TenFore ('104') on September 1, no AI vendor evaluated before|Curtis's own AI use: Lovable-built ticketing platform, Gallas Golf app, in-house social team|CourseRev's TenFore partnership and the integration timeline as the stated hurdle to a deal|Demo offer declined in favour of a pre-recorded link for the next day's team meeting|Product explanation: knowledge base, tee time booking, notice board, human transfer|Phone-system compatibility (Yealink / RingCentral) and the two routing options|Deployment options: 24/7, delayed call forward during open hours, or after hours only|Onboarding mechanics: agreement, 10-15 minute form, prototype in a few days, client testing|Waitlist: deferred to the native TenFore feature, CourseRev's kept as a backup|Company standing: golf-exclusive, 200 signed and roughly 100 live courses|Booking visibility in the tee sheet, free website chatbot, member recognition by phone number and backend API access|Pricing: $2.50 per booking challenged, pass-through fee proposed, low-friction after-hours start offered|Contract terms: no subscription, no commitment, dashboard toggle, $1,500 onboarding fee eliminated|Next steps: team meeting the next day, 2:00 p.m. check-in, Monday call, agreement with a September 1 effective date, onboarding form on decision",3,True,True,"Bo to email the four-to-five minute pre-recorded demo link and text his mobile number; Curtis to present it at the team meeting the next day around noon with owners John and Holly and to raise the $2.50 booking fee there; Bo to check in by call or text at 2:00 p.m. the next day and call again the following Monday for a decision; Bo to send the agreement naming the TenFore ('104') integration with a September 1 effective date for review, with no signature expected and redlines welcome; onboarding form to follow if they decide to move forward.",9,5,8,6,high,https://docs.google.com/document/d/165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ/edit
17M0p28AyMf3YDcrbnzdM59JXDQK8QwGgr2plcovw9iU,Bo,2026-06-22,Desert Princess CC,title,demo,rich,GM,2,True,"CourseRev dashboard with the voice concierge toggle shown switched on for a client course|Live outbound call to an existing client course (Tradition Golf Club) with the AI voice concierge answering on speaker|Caller recognition by phone number, with the AI referencing the caller's previous booking|Tee time search and booking for four players on a specific date, with alternative times offered when 8 a.m. was unavailable|Price read-back and booking confirmation, plus an offer to join the waitlist for the unavailable slot|Text confirmation containing a link to view, cancel and upload card details for the booking|Weather lookup during the call via a National Weather Service integration|Waitlist with confirmations and reminders, described as included free|Website chatbot on a live client site ('powered by course rev'), capturing phone number and feeding into the GMS|Player-type recognition (member vs public) and knowledge-base answers about restaurant, grill and pricing (described, not exercised on the call)","Dissatisfaction with the incumbent Golf Now system, specifically food and beverage: Rodney said 'we're not super happy with golf now' and 'their food and beverage system is terrible'|Currently pays $5,000 a year for Notify for waitlist functionality|Switching golf management systems drags the website and other systems with it, and the accounting office may resist: 'I'm not sure my accounting office is going to be up for making a change.'|Locked into a three-year agreement with Golf Now, though Rodney said getting out of it would not be hard|Highly diverse property - 1,206 homes with HOA accounts and billing privileges, a hotel, 300 short- and long-term rental homes, public play and golf members - so any system has to work for every user type|Five player types on the current booking site, each with different booking privileges and rules|Prior experience of a vendor's chatbot that 'just seemed overwhelming' and looked likely to produce mistakes or misinformation|Strong seasonality: closed to overseed in October, season runs November to March, shoulder April and May, slow June to September","Golf Now as the golf management system, identified from the tee sheet as 'golf 365 premiere' and settled in the call as Golf Now Premiere, under a three-year agreement; Notify for the waitlist at $5,000 a year. Lightspeed is being evaluated as a replacement GMS with a call planned for early July, and a neighbouring course's Quick 18 / Sagacity plus Toast stack was raised as a comparison.",3,True,ai_quality_doubt|integration|timing_seasonality,1,3,4,,4,rising,rapport>integration>other>integration>other>demo>next_step>other>demo>other>next_step,16,"Greeting and seasonality recap: closed for overseed in October, season November to March, slow summer|Framing: assess fit now, ahead of peak, with integration into the golf management system as the precondition|Integration gap disclosed - no official Golf Now integration yet, talks ongoing, summer roadmap|Prospect probes Quick 18 / Sagacity / Toast and a neighbouring course that switched|Incumbent review: unhappiness with Golf Now food and beverage, three-year agreement, accounting-office resistance to change|GMS alternatives: Bo names Lightspeed as CourseRev's strongest integration; Rodney has a Lightspeed call planned for early July|Product naming puzzle: Premier 365 vs Golf 365 Premiere vs Golf Now Pro, left unresolved|Interruption - a member walks into the shop and Rodney shortens the call|Live demo: dashboard toggle, then an outbound AI call to client course Tradition Golf Club booking four players|Follow-up questions on card capture and security, waitlist, member and player-type handling, knowledge base sourcing|Waitlist economics: CourseRev waitlist free against $5,000 a year for Notify|Website chatbot walkthrough on a live client site, and the constraint that it can only book if the voice concierge is in use|Staged-adoption offer: free chatbot now, voice concierge switched on for peak season|Prospect's prior chatbot doubt aired and answered|Positive summation, decision structure, and next steps gated on integration verification|Contact details exchanged",3,True,False,"Bo to verify whether CourseRev integrates with the prospect's Golf Now product (recorded variously as Golf Now Premiere and Golf 365 Premiere), check internal status on Quick 18, and brief CourseRev's head of operations on the call. If compatibility is confirmed, Bo to send the agreement for review only, not for signature. Rodney to take his planned early-July call with Lightspeed. No date was set for the integration answer, and Rodney declined both a pre-recorded demo and a meeting with the HOA General Manager.",7,6,5,4,high,https://docs.google.com/document/d/17M0p28AyMf3YDcrbnzdM59JXDQK8QwGgr2plcovw9iU/edit
1IGbv5jcQ6q8_MMNyeZfmtXpsr-dlNGmlU7BSUOvsYDU,Jason,2026-07-02,Deerhurst,title,demo,moderate,,2,True,"Live demonstration of the AI voice concierge simulating a booking inquiry for four players|AI answers on availability, pricing, restaurant amenities and practice facilities during that simulated call|Confirmation text message delivered to the caller after the booking|Operator dashboard: real-time management of notices, review of call transcriptions, tracking of booking outcomes|Waitlist that texts potential guests when a tee time opens, with a 10-minute window to confirm|Delayed call forward - calls route to the AI concierge only if the shop has not answered within a set number of rings (explained, part of the proposed configuration)|Operator toggle to switch the system on or off at will","Single-operator staffing: the facility 'relies on a single staff member per shift, leading to missed calls as a natural consequence of their business environment'|Missed calls translate into lost revenue, per the summary's framing of the operational challenge|Past operational problems with no-shows and last-minute cancellations, which drove a recent Notifi contract|Fragmented phone infrastructure: a main resort line with a phone tree plus direct lines to the 18-hole and 9-hole courses|An electrical fire destroyed the Highlands Pro Shop and Clubhouse, so the facility is running out of a temporary shop on multiple phone lines it wants to consolidate back to one|No visibility into inbound call analytics - call volume, missed opportunities and call outcomes (raised by the rep as a general gap in golf operations)","A recently signed Notifi contract covering no-shows and last-minute cancellations, with the Notifi AI assistant already deployed on the facility's website; Lightspeed as the golf management system (David Hexom is the facility's Lightspeed contact); a main resort phone line with a phone tree plus direct lines to the 18-hole and 9-hole courses, temporarily split across multiple lines since the pro shop fire.",1,True,approval_authority,0,3,,4,4,rising,rapport>other>discovery>other>discovery>onboarding>pricing>demo>pricing>next_step,13,"Introduction and casual check-in about the weather and regional heat|Rep background: CourseRev role across three North American territories and consulting with golf courses|Prospect background: recently signed Notifi contract covering no-shows and last-minute cancellations|Discovery on phone coverage: single staff member per shift and missed calls, backed by the rep's 70%-of-operators research|CourseRev philosophy: automate repetitive tasks so staff can focus on hospitality|Inbound call analytics as a visibility gap|Current phone infrastructure: resort phone tree, direct course lines, temporary shop after the pro-shop fire|Proposed delayed call forward and AI concierge, integrated with Lightspeed, with a customised knowledge base and operator notices|Pricing: flat $2.50 per booked and played round, nothing for cancellations, no-shows or the waitlist|Live AI voice concierge demonstration - a four-player booking inquiry ending in a confirmation text|Operator dashboard walkthrough: notices, call transcriptions, booking outcomes and the 10-minute waitlist confirmation window|System control and website strategy, including not stacking a second AI agent alongside the existing Notifi assistant|Next steps: materials for the General Manager, Lightspeed paperwork coordination, and a July 8 follow-up",1,True,True,"Jason Doepke to email Taylor Ophelders the owner brief and the standard agreement, together with a PDF breakdown of the offering, pricing and analytics data for the General Manager, and to coordinate with the facility's Lightspeed contact David Hexom on the paperwork. Jason to follow up with Taylor on July 8 to check the status of the agreement, once the General Manager is back in the office.",5,3,4,0,low,https://docs.google.com/document/d/1IGbv5jcQ6q8_MMNyeZfmtXpsr-dlNGmlU7BSUOvsYDU/edit
1MqvAFKoXlxtAsBUXstJ-Gxh2-A0wjnz9NbNI-H1qs_4,Jason,2026-07-17,Bristol Ridge,cross_doc_inference,other,moderate,unknown,3,True,"Course dashboard walkthrough|Emergency failsafe button that deactivates the system so incoming calls route straight to the pro shop after three rings|Notice board for temporary announcements such as cart path policies, event schedules and dining specials, prepopulatable for a full year|Analytics dashboard tracking total revenue, conversion rates and call volumes|Waitlist feature that tracks interest in fully booked tee times|AI voice section giving access to call transcripts for resolving pricing or booking disputes|Knowledge base for uploading documents such as menus and rate sheets","Existing Verizon phone system has a phone tree that is underutilized|Staff want first opportunity to answer during slower times, so an immediate forward would take calls away from the shop|The course operates simulators five days a week during the winter, which the system does not currently book|The service agreement named the wrong integration partner, listing Club Profit as the API instead of Club Caddy",Verizon phone system with a main line and an underutilized phone tree; Club Caddy as the integrated booking software provider. The course also runs simulators five days a week through the winter.,0,True,,0,4,,,4,insufficient_data,other>onboarding>pricing>other>demo>other>onboarding>other,11,small_talk|onboarding_introductions|phone_system_and_call_forwarding_setup|delayed_forward_strategy|winter_simulator_scope|dashboard_and_failsafe_walkthrough|notice_board_and_knowledge_base|analytics_and_waitlist|onboarding_timeline|service_agreement_correction|referral_program_mention,2,True,False,Four actions recorded by Gemini: Evan Denholm to contact Sam over the next few days to gather player types and tax rates for the configuration; Sam Strachan to email Jason confirming the updated agreement has been electronically signed and submitted; Evan Denholm to provide Sam a testing phone line next week for initial system verification; Sam Strachan to coordinate with Verizon to establish call forwarding for the pro shop phone line. All timings are relative - no calendar date was set.,4,3,4,2,low,https://docs.google.com/document/d/1MqvAFKoXlxtAsBUXstJ-Gxh2-A0wjnz9NbNI-H1qs_4/edit
1NiQZ4zEoJ6ux2G1uf495S1tDSDbtTb2wz5JuEPzgaHU,Jason,2026-06-30,Tunica National,body,demo,rich,unknown,2,True,"Live inbound AI booking call placed by the rep to Tradition Golf Club (the demo target course, not the prospect)|Returning-caller recognition by cell phone number, with the AI greeting the rep by name and referencing the earlier call|Tee sheet availability lookup, rate quote and hold - a 2 p.m. slot for three players at $177, with 1:50 and 2:10 alternatives|Mid-call modification from three to four players, re-quoted at $236 total at $59 each|FAQ answering during the booking - practice facility detail and the pub and grill, including a call-ahead number|Real-time text confirmation with a weather guarantee link, and pay-at-the-pro-shop handling|Dashboard: sales by channel including chatbot and web bookings|Call log with real-time transcription of every AI call, positioned as dispute evidence on price or booking details|Backline prompt to reach a human when the AI cannot resolve an issue|Waitlist with a 10-minute text confirmation window before the slot passes to the next player|Notice board for conditions such as punched greens, construction or cart-path-only, which the AI works into booking conversations|24/7 book, cancel, confirm and change handling outside business hours","The golf shop has a single incoming line, so calls back up during busy periods - the prospect said things can get hectic on busy days, particularly Saturday mornings|Weekday staffing in the shop is usually one person, with two attempted only at peak times|Calls are demonstrably missed: the prospect regularly sees two lines lit at once, either one holding while another is answered or both ringing simultaneously|The prospect knows missed calls are happening but has no visibility into what they cost, since nothing has surfaced in guest surveys","A multi-department IVR: callers pick prompts for the golf shop, food and beverage, general managers, or tennis and marketing, and the golf shop side runs on one incoming line. The prospect did not name the facility's tee sheet; the rep answered the data-capture question by describing CourseRev's Lightspeed integration (transcribed throughout as 'Lightseed') and referred to turning 'lighteed courses' on within a week, which implies but does not state that this facility runs it. The rep also referred to an existing waitlist tool at the facility in a garbled line, 'I see you guys have no T5'.",2,True,approval_authority|call_volume_doubt,1,3,4,3,3,flat,rapport>discovery>other>pricing>demo>other>demo>other>onboarding>other,12,intro_and_agenda|current_phone_operations_discovery|missed_call_impact_probe|delayed_call_forward_pitch|keer_golf_affiliation_and_discounted_rate|live_ai_booking_demo_call|data_payment_and_human_handoff_questions|dashboard_walkthrough|waitlist_and_tee_pairing_question|implementation_process|setup_fee_and_pricing_terms|next_step_materials_request,2,True,False,"Jason to send, by the end of the day, an AI-summarised owner brief covering cost and capabilities, the standard agreement and a link to the onboarding form; David to take it to his regional guide and go from there. Only the rep's send carries a time; no return date or follow-up meeting was agreed.",5,2,4,1,high,https://docs.google.com/document/d/1NiQZ4zEoJ6ux2G1uf495S1tDSDbtTb2wz5JuEPzgaHU/edit
1ORcZPbh7I7PtbkTyF7qzIhNXqt1auvau2fj3jPh8F7I,Bo,2026-09-04,Cedaredge Golf Course,title,,stub,,1,,,,,0,True,,0,,,,,insufficient_data,,0,,0,,,,0,0,0,0,low,https://docs.google.com/document/d/1ORcZPbh7I7PtbkTyF7qzIhNXqt1auvau2fj3jPh8F7I/edit
1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE,Bo,2026-08-19,The Links at Bodega Harbour,title,demo,rich,GM,3,True,"Live outbound AI voice call to an existing client course (The Divide Golf Club) on speaker|Caller recognition by phone number and recall of the caller's existing tee time|Knowledge-base question handling (practice facility), including offering to connect to the pro shop when details were not on hand|Tee time booking for two players with mixed rate types (one regular, one senior), total price and cart inclusion read back|SMS confirmation containing booking details, price, weather-guarantee link, view-booking link and cancel link, plus reply-to-modify keywords|CourseRev dashboard channel management with toggles for AI voice, AI chatbot and the web booking portal|Dashboard call transcription view (described and pointed at, not opened on screen)","Tee sheet and technology are paid for through trade services with Golf Now and Easy Links rather than cash, and the value of the traded tee times is being weighed against a flat per-booking fee|Outsourced call-centre agents do not know the property: John said 'no one knows our pro property like we do'|Pro shop staff get tied up with golfers in person, so inbound calls go unanswered and bookings are lost|Labour hours spent answering the phone in the pro shop could be diverted to other parts of the operation|Four rate categories (non-resident, resident, member, member guest) currently have to be vetted manually at the counter","Golf Now and Easy Links trade services for the tee sheet and technology, including their human call centre; Jonas as the payment system; a single advertised non-resident rate with four rate categories verified at the counter. Dynamic pricing is being evaluated (Easy Links and PreSwing) but is not yet in place.",6,True,ai_quality_doubt|approval_authority|contract_terms|integration|price,3,4,3,4,4,v_shaped,rapport>other>discovery>other>pricing>other>demo>pricing>onboarding>demo>other>next_step,16,"Rapport and personal background (Bay Area, baseball to golf)|Prior-touch recap: John had already called a client course and reached a live person|Current state review: Golf Now / Easy Links trade services and the human call centre|Internal politics: regional manager Ralph, HOA ownership, Presidio Trust parallel|Value proposition and pricing: recovered revenue, labour savings, $2 per booking Kemper preferred rate|Reference probe: which Kemper properties are live (Black Gold)|Product suite overview: AI voice, chatbot, waitlist, online booking bundled as Priority|Human-escape-hatch and call-deflection questions|GM Jetan Sahni brought onto the call mid-meeting|Live demo: dashboard walkthrough plus outbound AI voice call to The Divide Golf Club|Demo feedback: latency criticism and request for reference courses to test independently|Technical Q&A: tee sheet API integration, rate types, guests, payments and Stripe, dynamic pricing, transcriptions, cancellation policy, call-deflection rate|Implementation explanation: website scraping, account manager, knowledge base fortification|Trial offer: 30-day free trial in place of a bespoke sandbox demo|Approval path: management team then board; toggle and month-to-month terms confirmed|Next steps, contact details and a two-to-four-week follow-up window",3,True,False,"Bo to email the service agreement for review (no signature expected), phone numbers for client courses the prospects can call themselves, the five-minute pre-recorded demo video, the going-live documentation, Black Gold leadership contacts and pro-shop call-reduction data, and to confirm dynamic-pricing compatibility with the head of operations. John and Jetan to review internally with the management team and the board, and John to brief regional manager Ralph. Bo to follow up in roughly two to three weeks; John proposed a two-to-four-week window. No specific date was set.",9,6,10,6,high,https://docs.google.com/document/d/1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE/edit
1WIePxzLZ5J1JlsTVZpr3BErhHxtuR4N22TOB6BKpFTQ,Jason,2026-08-10,,unresolved,demo,moderate,unknown,2,True,"Live demonstration of the voice concierge placed to Highland Creek Golf Club (the demo target course, not the prospect)|AI confirming a specific tee time, reciting details and processing a booking|AI answering restaurant menu questions and describing facility amenities including the driving range and putting green|Delayed call forward: the concierge picks up if staff cannot answer within three rings, with the existing course number unchanged|Direct integration with the existing tee sheet software, specifically GolfNow, for booking capture and a customised FAQ knowledge base|Automated wait list that texts interested players on a cancellation, with a 10-minute confirmation window before moving to the next player|Returning-caller recognition by cell phone number, referencing the player's history such as regular tee times|Web dashboard: toggle the AI voice line on or off, review full call transcripts for dispute resolution, manage promo codes|Notice board for events, maintenance alerts and course conditions such as cart-path-only, which the AI communicates to callers|Settings for operating hours, payment configuration and player-type access, including restricting public play in member-only slots|Stripe payment integration supporting prepayments or credit card holds, with the option to pass the $2.50 fee to the golfer in the green fee","Prospect acknowledged the current inefficiency of their phone system, which relies on a standard press-one or press-two menu structure|Prospect noted that even when they eventually return calls, the initial missed connection is an ongoing operational frustration|Prospect expressed frustration with current GolfNow support, saying they often have to deal with offshore call centers that lack specific knowledge about the course|Prospect raised cart damage and vandalism as an operational problem, and the difficulty of holding players accountable without well-written disclaimers and signed agreements","GolfNow as the existing tee sheet software, fronted by a standard press-one or press-two phone menu, with vendor support routed to offshore call centers that the prospect says lack course-specific knowledge. Tag Marshall for pace-of-play and cart management was discussed by both participants, but the notes do not say whether this facility uses it.",1,True,approval_authority,0,3,,4,4,rising,discovery>other>pricing>other>demo>onboarding>other>integration>onboarding>discovery>onboarding>other,14,phone_operations_problem_framing_with_ngf_stats|delayed_call_forward_proposal|pricing_model|waitlist_and_caller_recognition|future_kiosk_and_data_discussion|live_ai_booking_demo_call|operational_setup_requirements|dashboard_notice_board_and_settings|payment_integration|onboarding_process|market_context_and_owner_briefing|implementation_timeline|adjacent_tech_discussion|next_steps,1,True,False,"Rep to compile the meeting notes into an owner briefing, email the project details, standard agreement and electronic signature link, prepare a proposal pamphlet on implementation and cost, research whether GolfNow would push back on the integration, and follow up next week; prospect to check with the telecommunications provider on whether an extra line is needed and identify the current phone provider. Timing is 'next week' throughout - no specific date or time is recorded.",6,3,6,2,low,https://docs.google.com/document/d/1WIePxzLZ5J1JlsTVZpr3BErhHxtuR4N22TOB6BKpFTQ/edit
