file_id,rep,file_name,account_name,account_source,is_customer_call,is_prospect,has_transcript,probe_transcript,char_count,transcript_chars,transcript_turns,transcript_duration,has_screenshots,confidence,call_type_note
1H_esx8wuc--fG5PZ4Wupgtkkrdj2oI1oyacPyRUhHR8,Bo,TenFore<>CourseRev info sesh - 2026/08/13 12:59 EDT - Notes by Gemini,TenFore,title,True,False,True,,74736,58308,353,00:51:58,False,medium,"External partner/reseller info session and product demo with TenFore (golf software vendor), not a single golf course prospect."
1XJPIqjinc22NKTuQ5M32NepFwaC7KN3blQFAJbWR-VU,Bo,CourseRev + Ocean Course Hokuala - 2026/08/31 11:30 PDT - Notes by Gemini,Ocean Course Hokuala,title,True,True,True,,71643,52664,436,00:56:27,False,high,"Sales discovery/solution call with golf course on AI phone booking, moving to agreement and onboarding."
1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE,Bo,Chat: CourseRev + The Links at Bodega Harbour - 2026/08/19 14:29 PDT - Notes by Gemini,The Links at Bodega Harbour,title,True,True,True,,69604,57717,537,00:51:33,False,high,AI voice product demo and pricing discussion with golf course management; 30-day trial proposed.
18Hy9dQodkUWl4qvQUMRiNTr9LmxYX_vGUdLCnSCsNGg,Bo,Chat: CourseRev + Tilden Park Golf Course - 2026/09/04 10:00 PDT - Notes by Gemini,Tilden Park Golf Course,title,True,True,True,,66296,50043,355,00:53:31,False,high,Intro/discovery chat with demo and pricing review for a KemperSports-managed municipal course.
165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ,Bo,Emerald Isle & CourseRev - Quick Chat - 2026/08/06 12:29 PDT - Notes by Gemini,Emerald Isle,title,True,True,True,,63235,50181,398,00:45:48,False,high,"Sales chat/demo with a golf course switching POS; covered AI booking, booking fees and a Sept 1 contract date."
1TkBlhJYHKPHgpX7Q6FpLHzeWiiLyPRtnbW6wk4DFUP4,Bo,CourseRev + Presidio - Quick Chat - 2026/05/20 09:31 PDT - Notes by Gemini,Presidio Golf Course,title,True,True,True,,58571,45217,439,00:50:18,False,high,"First discovery + AI booking demo with the Presidio golf ops lead; covers call volume, integration, pricing and an ROI report request."
1NErdrdlxiNuIqbxxcJayg3hCf6YFacXlwq-sGecFwNo,Bo,Chat: CourseRev + Old Greenwood  - 2026/08/18 10:00 PDT - Notes by Gemini,Old Greenwood,title,True,True,True,,55382,43507,322,00:49:40,False,high,Discovery/demo call with Tahoe Mountain Club's Old Greenwood about replacing ForeUp-era phone handling with the AI voice concierge.
1_cUB0ZFNgd6TpD_bnKTo8ta7v2uNeyG7EdgdlLB0bOQ,Bo,CourseRev + Indian Canyons - Quick Chat - 2026/06/11 14:23 PDT - Notes by Gemini,Indian Canyons,title,True,True,True,,51471,40769,349,00:34:25,False,high,"Prospect discovery/demo chat covering AI voice concierge, integrations, billing and a November launch."
17M0p28AyMf3YDcrbnzdM59JXDQK8QwGgr2plcovw9iU,Bo,CourseRev + Desert Princess CC - Quick Chat - 2026/06/22 12:29 PDT - Notes by Gemini,Desert Princess CC,title,True,True,True,True,42526,31063,289,00:33:59,False,high,Demo/discovery call with the club manager; deal gated on GolfNow Premier tee-sheet integration.
1-kLLCjoiaTphDfAbOlQ_bx1YjWj-jxM_RtJ3OC3SRB0,Bo,CourseRev + Presidio - Quick Call about Pricing Structure - 2026/06/19 13:58 PDT - Notes by Gemini,Presidio Golf Course,title,False,False,True,True,35323,26294,362,00:27:23,False,high,Prospect no-show: Brian Wilcox (bwilcox@presidiogolf.com) was invited but never joined; Bo and Manna spent the slot on Presidio pricing strategy (Kemper $2 rate) and small talk.
1BPJko8wI1WqBvBHy9SAXMRRCM-VGk8f7_D0MPgntmpc,Bo,CourseRev + Laughlin Ranch - Chat - 2026/08/12 11:00 PDT - Notes by Gemini,Laughlin Ranch,title,True,True,True,,32655,25386,291,00:20:42,True,high,"Discovery/demo call with the Laughlin Ranch GM; AI voice pitch, pricing, live demo."
1jPjVlJ67PtF60dh-W4U4BNb4gRakrFEXmUbGG9ZhFvI,Bo,CourseRev + Temecula Creek Inn - Quick Chat - 2026/05/18 12:44 PDT - Notes by Gemini,Temecula Creek Inn,title,True,True,True,,19464,13369,151,00:11:01,False,high,"Short intro/demo call: live AI tee-time booking demo, Club Prophet integration, $2.50-per-booking pricing, resort-scope limits."
1eNhbK28h7Y6Vnx4CxhWYoMhK4yCkVBnmPImPwyuebnk,Bo,Chat: CourseRev + The Links at Bodega Harbour - 2026/08/18 14:30 PDT - Notes by Gemini,The Links at Bodega Harbour,title,True,True,True,,7073,2818,6,00:10:09,False,low,"Scheduled prospect chat (KemperSports course) but the recording captures only Bo's side - stray audio/monologue, no prospect dialogue and no sales content."
155XNHSs1CdNjb36xslmbxSDEyO8p3L67SXifzeZ4LWI,Bo,CourseRev + Presidio - Touchbase - 2026/05/21 13:31 PDT - Notes by Gemini,Presidio Golf Course,title,True,True,False,,1865,0,0,00:00:44,False,medium,Scheduled Presidio follow-up touchbase that produced no usable content: Gemini made no summary/details and the transcript section holds only 'Transcription ended after 00:00:44'.
1lh718a6-SEz3M0xIoA3RugMV5XGUbKORbMooYTbsCM0,Bo,CourseRev + Laughlin Ranch - Chat - 2026/08/12 09:59 PDT - Notes by Gemini,Laughlin Ranch,title,True,True,False,False,1793,270,0,00:26:12,False,low,Near-empty record: Gemini produced no summary or details ('not enough conversation in a supported language') and the Transcript section holds only 'Transcription ended after 00:26:12' with zero dialogue lines.
1uqIVoYLbhJ0eB7GaWyXk0bTbJ97Eqp7H_Pn6UE7ozDQ,Bo,CourseRev + Dave White Muni - Quick Chat - 2026/06/24 14:01 PDT - Notes by Gemini,Dave White Muni,title,True,True,False,False,1742,0,0,00:07:10,False,low,"Scheduled quick chat with a municipal course; Gemini produced no summary or dialogue (not enough conversation), only a 00:07:10 transcription marker."
17Kdv4-QBw51qfiyqRJUH5QDaCDZzvCG4NvbLIOWALq0,Jason,Scott Lake Meeting - Notes by Gemini,Scott Lake,title,True,True,True,,54924,44827,557,00:40:57,False,medium,Sales presentation and live demo to a West Michigan golf course; prospect to consult owner on onboarding form.
1cXcSfltz6gT_UWO2kS9tOreSJ53PG1aboPost3IWfLc,Jason,New Albany Links GC & Courserev Exploratory Discussion - 2026/06/22 10:00 EDT - Notes by Gemini,New Albany Links GC,title,True,True,True,,37457,30927,264,00:30:29,False,high,Exploratory discovery call with a KemperSports manager covering six Columbus-area courses.
1Vc-0jAT5kUof7vcxv7iKKsqEJLQ7IqKnLCXWE4nsU1I,Jason,iqk-gpyj-dqx (2026-08-03 15:26 GMT-4) - Transcript,,unresolved,False,False,True,True,36370,36268,330,00:40:42,False,high,"Internal rep-to-rep sync: pipeline, prospecting process, HubSpot workflow and competitive positioning vs Notifi. No prospect present."
1uPJNpOzBPz0IrlhitD4fPmcqU_ejHj_HWvRaNDaj6iI,Jason,Live Demo of CourseRev Voice Concierge for Public Golf Courses - 2026/09/09 11:53 EDT - Notes by Gemini,,unresolved,False,False,True,True,34293,18851,46,00:38:22,False,medium,"Solo recorded marketing/demo walkthrough of the voice concierge (NGF stats, live call to Greenway Pines, dashboard tour); no prospect attendee present."
13e3k4raIeOaIi09eQf5vwKslwoojCqoJubwSnzAbtv4,Jason,Bill / Jason Intro Call - 2026/08/19 16:30 EDT - Notes by Gemini,Lightspeed,body,False,False,True,True,34110,23883,266,00:22:27,False,medium,"Channel-partner intro/alignment call with a Lightspeed new-business rep (billing, MCO pricing, re-engaging stalled deals) - not a prospect golf course."
1SDiawkSCZ4i29jkWGtqG12ZXmn1KtN3AGuoXFe2oSDo,Jason,Quick Connect - Pitch CRM  - 2026/05/19 11:29 EDT - Notes by Gemini,,unresolved,False,False,True,,32824,23789,368,00:21:58,False,high,"Internal tooling/ops session with Pitch CRM vendor rep: email alias, sender address and campaign suppression setup. No golf prospect present."
1NiQZ4zEoJ6ux2G1uf495S1tDSDbtTb2wz5JuEPzgaHU,Jason,Meeting started 2026/06/30 13:59 EDT - Notes by Gemini,Tunica National,body,True,True,True,True,31192,20757,146,00:27:36,False,high,"Discovery plus live AI voice demo with the pro shop; pricing and onboarding covered, follow-up materials promised."
1pq9D-qU9VNj91MHh5MiLH-DdE30C4NFbEJgZ6VYgVMg,Jason,bti-bqvj-ruu (2026-07-20 15:34 GMT-4) - Transcript,,unresolved,False,False,True,,29077,28975,235,00:29:35,False,high,"Internal CourseRev 1:1 between Jason and Elias on field prospecting, the ForeUp partnership and competitive strategy."
134YxFCuQHlGZl7rL5tazaIfcOD4yJzOFaUaagqqqTz0,Jason,Courserev Live Demo - 2026/07/09 12:57 EDT - Notes by Gemini,,unresolved,False,False,True,True,24950,15751,78,00:23:56,False,high,Open live-demo webinar that no operators attended; CourseRev team recorded the demo as a reusable asset.
1i_HxRnkE42Elyg_9mp2AAyrlOHSto5TgLuuObcinzJg,Jason,wno-hgdq-yjo (2026-08-05 11:17 GMT-4) - Transcript,,unresolved,False,False,True,True,11574,11470,113,00:11:13,False,high,"Internal rep-to-rep call: Ramp expense reimbursement setup, competitive positioning vs Notify/Speak Sport, referral program and no-show demos. Raw Meet transcript export - speaker lines are plain 'Name:' not bold, so probe.py counts 0 turns; 113 counted with the plain-text pattern. Duration from 'Meeting ended after'."
1k5E3asb_5nIleTerjKr8eISR9Fv3LPa9tZ6pDeSa78Q,Jason,Meeting started 2026/08/13 10:30 EDT - Notes by Gemini,,unresolved,True,True,False,False,10377,0,0,,False,medium,"Late-stage customer call (onboarding/contract terms, billing, cancellation and prepayment policy) with a club buyer plus the Lightspeed partner rep; doc has no invitee list or transcript so the course is unnamed."
1WIePxzLZ5J1JlsTVZpr3BErhHxtuR4N22TOB6BKpFTQ,Jason,Meeting started 2026/08/10 15:10 EDT - Notes by Gemini,,unresolved,True,True,False,False,10276,0,0,,True,medium,Discovery/demo pitch of the voice concierge to an external prospect; course never named (Highland Creek is only the live-demo target).
